method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
LIRE,4,0.9048672566371682,0.9472392638036808,0.8671153846153846,14.167993068695068,40,6.263274336283186,0.1565818584070796,0.4729384643949597
RF,5,0.8938053097345132,0.9424460431654678,0.9064903846153846,1.0220744609832764,-1,-1.0,-1.0,-1.0
LightGBM,5,0.8827433628318584,0.9348093480934808,0.898125,0.1248137950897216,-1,-1.0,-1.0,-1.0
KernelSVM,5,0.8849557522123894,0.9389671361502347,0.7250480769230768,2.140868186950684,-1,-1.0,-1.0,-1.0
RuleFit,5,0.8960176991150443,0.94316807738815,0.9111778846153844,1.4124562740325928,44,25.404867256637168,0.5773833467417538,0.2844626333944998
GLRM,5,0.8871681415929203,0.9378806333739343,0.8975721153846153,5.652148246765137,18,11.473451327433628,0.6374139626352016,0.2593299892024422
LIRE,5,0.8893805309734514,0.9387254901960784,0.889423076923077,15.507925510406494,41,9.692477876106194,0.2364018994172242,0.4575685966230904
RF,6,0.8893805309734514,0.9410377358490566,0.903846153846154,0.8057620525360107,-1,-1.0,-1.0,-1.0
LightGBM,6,0.8960176991150443,0.9424724602203184,0.9086538461538464,0.314786434173584,-1,-1.0,-1.0,-1.0
KernelSVM,6,0.8871681415929203,0.9400705052878966,0.7935096153846153,2.474807024002075,-1,-1.0,-1.0,-1.0
RuleFit,6,0.8982300884955752,0.9448441247002398,0.9218750000000002,1.4402334690093994,38,22.04646017699115,0.5801700046576619,0.2839905232337785
GLRM,6,0.9004424778761062,0.9459783913565426,0.9100480769230768,14.27155327796936,39,22.134955752212388,0.5675629680054458,0.3124655302154579
LIRE,6,0.8871681415929203,0.9375764993880048,0.8720913461538462,6.700453281402588,17,5.345132743362832,0.3144195731389901,0.4353457699077389
RF,7,0.8849557522123894,0.9385342789598108,0.8708653846153847,0.896104097366333,-1,-1.0,-1.0,-1.0
LightGBM,7,0.8871681415929203,0.9377289377289378,0.8511057692307692,0.1232938766479492,-1,-1.0,-1.0,-1.0
KernelSVM,7,0.8849557522123894,0.9386792452830188,0.715673076923077,1.9375312328338623,-1,-1.0,-1.0,-1.0
RuleFit,7,0.8849557522123894,0.9376498800959232,0.8658173076923077,1.4088318347930908,36,23.12389380530973,0.6423303834808259,0.2401366424001398
GLRM,7,0.8738938053097345,0.9302325581395348,0.8668509615384615,4.160490274429321,13,8.856194690265486,0.6812457454050374,0.211156832123025
LIRE,7,0.8982300884955752,0.9441747572815534,0.8699519230769232,5.408038139343262,14,2.933628318584071,0.2095448798988622,0.471425688928064
RF,8,0.9070796460176992,0.9496402877697844,0.921971153846154,0.6127455234527588,-1,-1.0,-1.0,-1.0
LightGBM,8,0.90929203539823,0.9496932515337424,0.9107692307692308,0.3065435886383056,-1,-1.0,-1.0,-1.0
KernelSVM,8,0.8871681415929203,0.9400705052878966,0.7218269230769231,2.5228042602539062,-1,-1.0,-1.0,-1.0
RuleFit,8,0.918141592920354,0.955259975816203,0.9201923076923076,1.4261491298675537,45,27.02654867256637,0.6005899705014749,0.2701336820675566
GLRM,8,0.9070796460176992,0.9486552567237164,0.9054326923076924,4.573362827301025,10,6.36283185840708,0.636283185840708,0.243393200016207
LIRE,8,0.9026548672566372,0.9469879518072288,0.9013461538461538,6.04448127746582,14,5.1084070796460175,0.3648862199747155,0.4208334049250051
RF,9,0.8960176991150443,0.9437125748502992,0.8671634615384616,1.0459327697753906,-1,-1.0,-1.0,-1.0
LightGBM,9,0.8938053097345132,0.9413202933985332,0.8527884615384616,0.3239738941192627,-1,-1.0,-1.0,-1.0
KernelSVM,9,0.8849557522123894,0.9389671361502347,0.695625,0.7505629062652588,-1,-1.0,-1.0,-1.0
RuleFit,9,0.9004424778761062,0.9454545454545454,0.8658653846153846,1.4184768199920654,64,26.99115044247788,0.4217367256637168,0.3806550374032174
GLRM,9,0.9026548672566372,0.946731234866828,0.8629326923076924,25.560031175613403,45,22.900442477876105,0.5088987217305802,0.3363480455737413
LIRE,9,0.8915929203539823,0.9408926417370326,0.8414423076923077,9.967494487762451,21,5.623893805309734,0.2678044669195111,0.4471232280608607
RF,10,0.8893805309734514,0.9400479616306954,0.8665384615384615,0.6102147102355957,-1,-1.0,-1.0,-1.0
LightGBM,10,0.8893805309734514,0.9385749385749386,0.8795673076923076,0.2214479446411132,-1,-1.0,-1.0,-1.0
KernelSVM,10,0.8849557522123894,0.9389671361502347,0.7609615384615385,2.3552584648132324,-1,-1.0,-1.0,-1.0
RuleFit,10,0.8960176991150443,0.943577430972389,0.8722115384615384,1.3955409526824951,38,24.83849557522124,0.6536446204005589,0.2167714244311311
GLRM,10,0.8849557522123894,0.9368932038834952,0.8665625,19.70622181892395,41,22.26106194690265,0.5429527304122599,0.31931122771619
LIRE,10,0.8915929203539823,0.9400244798041616,0.8757932692307692,6.027961492538452,16,4.199115044247788,0.2624446902654867,0.4525772034126866
