method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
RF,5,0.8645577395577395,0.9140853302162478,0.9141569249058844,1.6493167877197266,-1,-1.0,-1.0,-1.0
LightGBM,5,0.8719287469287469,0.9174093879976232,0.9267474283402682,0.1965866088867187,-1,-1.0,-1.0,-1.0
KernelSVM,5,0.800982800982801,0.8807069219440353,0.7363739184994387,405.54573345184326,-1,-1.0,-1.0,-1.0
RuleFit,5,0.8654791154791155,0.9144865286997268,0.9157167417938048,10.497515678405762,137,59.95577395577396,0.437633386538496,0.3748802612827752
GLRM,5,0.8482800982800983,0.9026792750197006,0.9036961416848291,11.17705774307251,48,19.29146191646192,0.4019054565929565,0.3980803115282051
LIRE,5,0.8596437346437347,0.9099862123301162,0.9171991612178853,126.5310070514679,62,14.529176904176904,0.2343415629705952,0.4558708250645834
RF,6,0.8614864864864865,0.9118968548544636,0.9178113751568588,6.696795463562012,-1,-1.0,-1.0,-1.0
LightGBM,6,0.8722358722358723,0.9175257731958764,0.9293644945842414,0.1927952766418457,-1,-1.0,-1.0,-1.0
KernelSVM,6,0.8058968058968059,0.8834378458133529,0.7597113177795389,389.3059170246124,-1,-1.0,-1.0,-1.0
RuleFit,6,0.8602579852579852,0.910801803567928,0.9177332037183804,10.007266998291016,121,54.65724815724816,0.4517127946880013,0.3689685266825998
GLRM,6,0.8504299754299754,0.9036978445718806,0.9073472380457036,97.37875533103944,80,27.827088452088454,0.3478386056511057,0.4278879210626234
LIRE,6,0.8611793611793612,0.9106012658227848,0.9173898169704776,167.7055685520172,63,12.042076167076168,0.1911440661440661,0.457178292219432
RF,7,0.8596437346437347,0.911554093284304,0.917003087642824,4.920723915100098,-1,-1.0,-1.0,-1.0
LightGBM,7,0.8688574938574939,0.9159944914420618,0.9274556151344032,0.1925921440124511,-1,-1.0,-1.0,-1.0
KernelSVM,7,0.7868550368550369,0.8719557195571955,0.7318146918961759,417.6840138435364,-1,-1.0,-1.0,-1.0
RuleFit,7,0.8630221130221131,0.9134316770186336,0.9191805362921868,10.09390425682068,135,54.4938574938575,0.4036582036582037,0.3901558809154528
GLRM,7,0.8488943488943489,0.9032258064516128,0.903346563139819,74.02656483650208,78,29.83046683046683,0.3824418824418824,0.4154131167411997
LIRE,7,0.8596437346437347,0.9106199882652064,0.9114815525724852,136.68007922172546,71,15.690724815724815,0.2209961241651382,0.4567005381325379
RF,8,0.8697788697788698,0.9174776177500974,0.9194318200581204,8.124860048294067,-1,-1.0,-1.0,-1.0
LightGBM,8,0.878992628992629,0.922103598260182,0.9321224242124037,0.1926600933074951,-1,-1.0,-1.0,-1.0
KernelSVM,8,0.8000614250614251,0.8820865785183843,0.7139033708143452,370.94640278816223,-1,-1.0,-1.0,-1.0
RuleFit,8,0.870085995085995,0.9174634146341464,0.9196983253252756,10.321630239486694,118,51.26719901719902,0.4344677882813476,0.3759168235325694
GLRM,8,0.8544226044226044,0.9067296340023612,0.9076145172874976,21.058024883270264,47,19.491093366093367,0.4147041141721992,0.3931383952118171
LIRE,8,0.8667076167076168,0.9151017214397495,0.9182437689881776,200.23758363723755,64,15.484643734643734,0.2419475583538083,0.4484412424091694
RF,9,0.8660933660933661,0.9152410575427684,0.9208020131596328,4.823218822479248,-1,-1.0,-1.0,-1.0
LightGBM,9,0.8783783783783784,0.92192429022082,0.9329369035235454,0.1928787231445312,-1,-1.0,-1.0,-1.0
KernelSVM,9,0.7982186732186732,0.8787151559904006,0.7597685919027806,394.1401369571686,-1,-1.0,-1.0,-1.0
RuleFit,9,0.8645577395577395,0.913749266575396,0.9204176057558946,10.490757465362549,120,55.80528255528255,0.4650440212940213,0.3645574786554331
GLRM,9,0.8547297297297297,0.9068714313841308,0.9063640322633908,136.01928806304932,82,34.16554054054054,0.4166529334212261,0.4034399587443154
LIRE,9,0.8624078624078624,0.911880409126672,0.9177019867412984,194.82418656349185,76,14.798525798525798,0.1947174447174447,0.4621669284973129
RF,10,0.8611793611793612,0.91171875,0.9154698438841556,8.143609762191772,-1,-1.0,-1.0,-1.0
LightGBM,10,0.8713144963144963,0.9166832372241004,0.9277187665114588,0.1931285858154297,-1,-1.0,-1.0,-1.0
KernelSVM,10,0.8086609336609336,0.8859600951857953,0.7837999884419788,413.5590901374817,-1,-1.0,-1.0,-1.0
RuleFit,10,0.8651719901719902,0.9134634338655628,0.9193152078792682,10.595924615859984,165,64.5995085995086,0.3915121733303551,0.3991854607688737
GLRM,10,0.8467444717444718,0.9010509617291296,0.905138830410805,9.670603513717651,46,18.85288697788698,0.4098453690844995,0.3964077028518606
LIRE,10,0.8581081081081081,0.9091624066063704,0.909905998200251,137.78771781921387,66,13.692874692874692,0.2074677983768892,0.462387679807109
