method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
RuleFit,6,1.0,1.0,1.0,1.002336025238037,226,40.65686274509804,0.1798976227659205,0.4529255463516914
GLRM,6,0.9803921568627452,0.9803921568627452,1.0,28.85952973365784,80,36.07843137254902,0.4509803921568627,0.364134842701479
LIRE,6,1.0,1.0,1.0,3.390429735183716,35,5.441176470588236,0.1554621848739495,0.4682612347221211
RF,7,1.0,1.0,1.0,0.0953867435455322,-1,-1.0,-1.0,-1.0
LightGBM,7,1.0,1.0,1.0,0.0558202266693115,-1,-1.0,-1.0,-1.0
KernelSVM,7,0.7450980392156863,0.7833333333333333,0.8557692307692308,0.1028738021850586,-1,-1.0,-1.0,-1.0
RuleFit,7,0.9411764705882352,0.9423076923076924,0.9738461538461538,0.844998836517334,83,18.764705882352946,0.2260807937632884,0.4364278706772639
GLRM,7,0.9509803921568628,0.9514563106796116,0.9953846153846152,24.062026262283325,80,38.91176470588236,0.4863970588235294,0.3441973755861071
LIRE,7,0.9705882352941176,0.9702970297029704,0.9780769230769232,2.915498733520508,40,6.990196078431373,0.1747549019607843,0.4582699464314309
RF,8,1.0,1.0,1.0,0.0947556495666503,-1,-1.0,-1.0,-1.0
LightGBM,8,1.0,1.0,1.0,0.0519850254058837,-1,-1.0,-1.0,-1.0
KernelSVM,8,0.8137254901960784,0.8224299065420562,0.8896153846153847,0.1041960716247558,-1,-1.0,-1.0,-1.0
RuleFit,8,1.0,1.0,1.0,0.8258142471313477,198,34.57843137254902,0.1746385422856011,0.4537403326046726
GLRM,8,0.9803921568627452,0.981132075471698,0.9992307692307691,22.71956157684326,79,40.11764705882353,0.5078183172002978,0.3350899703586092
LIRE,8,1.0,1.0,1.0,6.030406951904297,90,12.77450980392157,0.1419389978213507,0.4637262942874787
RF,9,0.9705882352941176,0.97196261682243,1.0,0.0946581363677978,-1,-1.0,-1.0,-1.0
LightGBM,9,0.9705882352941176,0.97196261682243,1.0,0.1156392097473144,-1,-1.0,-1.0,-1.0
KernelSVM,9,0.7450980392156863,0.7796610169491526,0.8538461538461538,0.1032869815826416,-1,-1.0,-1.0,-1.0
RuleFit,9,0.9705882352941176,0.97196261682243,0.9838461538461538,0.7969701290130615,102,17.186274509803923,0.1684928873510188,0.4567992161573802
GLRM,9,0.9705882352941176,0.97196261682243,0.985,50.39628982543945,71,29.97058823529412,0.4221209610604805,0.3650691460380998
LIRE,9,0.9705882352941176,0.97196261682243,0.9619230769230768,3.383836030960083,48,7.098039215686274,0.147875816993464,0.4664726737985418
RF,10,0.9803921568627452,0.9807692307692308,1.0,0.093484878540039,-1,-1.0,-1.0,-1.0
LightGBM,10,1.0,1.0,1.0,0.1172473430633544,-1,-1.0,-1.0,-1.0
KernelSVM,10,0.8235294117647058,0.8392857142857143,0.862918752406623,0.1017596721649169,-1,-1.0,-1.0,-1.0
RuleFit,10,1.0,1.0,1.0,0.8317356109619141,159,27.107843137254903,0.1704895794795906,0.4570438932518498
GLRM,10,0.9803921568627452,0.9814814814814816,0.9961494031574892,23.09607553482056,78,38.86274509803921,0.4982403217697335,0.3442158008542461
LIRE,10,1.0,1.0,1.0,2.989330053329468,43,5.990196078431373,0.1393068855449156,0.4679381928684177
