method,fold,accuracy,f1,auc,gsup,lsup,rsup,div,C_l1,C_l0,C_li,time
LIRE,1,0.8520110531163647,0.9051927616050354,0.9078329519922494,28,7.779858765735339,0.2778520987762621,0.43408150234101966,-1.0,0.0025,0.1,44.35496497154236
LIRE,1,0.8458704329137243,0.9025242718446602,0.9076855688166059,30,2.8738102548357385,0.09579367516119128,0.47391639891804005,-1.0,0.0025,0.5,123.39748167991638
LIRE,1,0.8388087196806877,0.8982360922659429,0.9009203718590894,31,3.749462695732269,0.12095040953975061,0.45833925791000246,-1.0,0.0025,1.0,84.37635588645935
LIRE,1,0.8338962235185754,0.8970895948259464,0.8678331065899861,22,1.0997850782929075,0.04999023083149579,0.47965361801136613,-1.0,0.0025,5.0,56.82675623893738
LIRE,1,0.8185446730119742,0.8918968355588074,0.6649962381217406,9,0.13785692354927848,0.015317435949919831,0.4926481075792524,-1.0,0.0025,10.0,58.83432626724243
LIRE,1,0.8446423088731962,0.9014797507788161,0.9078326943293551,18,5.692661958857845,0.3162589977143247,0.4197613248082522,-1.0,0.005,0.1,31.792402744293213
LIRE,1,0.8464844949339884,0.902534113060429,0.8959552078824233,17,1.9947804728277556,0.11734002781339739,0.46093912682105165,-1.0,0.005,0.5,49.45595622062683
LIRE,1,0.8391157506908198,0.8986068111455108,0.898058510090079,20,2.544980042984341,0.12724900214921706,0.4593843454782445,-1.0,0.005,1.0,101.06573843955994
LIRE,1,0.8305188824071231,0.8968995143817705,0.7102423577185497,11,0.18268345102855388,0.016607586457141263,0.49500035861442343,-1.0,0.005,5.0,100.77281165122986
LIRE,1,0.7589806570463616,0.8629778320823879,0.5,3,0.0,0.0,0.0,-1.0,0.005,10.0,43.82017421722412
RF,2,0.7945331695331695,0.8807274023890176,0.8854004131992603,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.641566276550293
RuleFit,2,0.8614864864864865,0.9122738766776892,0.9123037716300113,118,32.61486486486486,0.27639715987173613,0.44007392730344436,0.0005,-1.0,-1.0,2.1079938411712646
RuleFit,2,0.859029484029484,0.9110637473357877,0.9099671421966846,73,25.114864864864863,0.3440392447241762,0.41278741567330146,0.001,-1.0,-1.0,1.5436854362487793
RuleFit,2,0.8525798525798526,0.907514450867052,0.9023393641437156,34,15.841216216216216,0.4659181240063593,0.3467978661091979,0.005,-1.0,-1.0,1.2985422611236572
RuleFit,2,0.851044226044226,0.9068203650336215,0.897812902466812,23,12.647113022113022,0.5498744792223053,0.29822967406550366,0.01,-1.0,-1.0,1.1906359195709229
RuleFit,2,0.808968058968059,0.8879279279279279,0.8686719833564494,9,5.70945945945946,0.6343843843843844,0.1558949391132814,0.05,-1.0,-1.0,1.1410036087036133
LIRE,2,0.8568796068796068,0.9092325671990651,0.9111082388052308,117,18.04176904176904,0.1542031542031542,0.46935647530388647,-1.0,0.0005,0.1,336.42701029777527
LIRE,2,0.859029484029484,0.9103340496190663,0.9122196663859719,116,12.287162162162161,0.10592381174277725,0.47953402811744744,-1.0,0.0005,0.5,427.7302448749542
LIRE,2,0.8596437346437347,0.9110029211295033,0.9102578986691765,114,11.46529484029484,0.10057276175697229,0.47769237730254527,-1.0,0.0005,1.0,234.81623792648315
LIRE,2,0.851965601965602,0.9065891472868217,0.9067590173205206,86,3.8012899262899262,0.044201045654534026,0.48442781393063217,-1.0,0.0005,5.0,432.93095684051514
LIRE,2,0.8482800982800983,0.9045226130653268,0.9006319760914074,69,2.0949017199017197,0.030360894491329272,0.4878600280775811,-1.0,0.0005,10.0,266.4430983066559
LIRE,2,0.8587223587223587,0.9099099099099099,0.9100220943960108,80,14.242014742014742,0.17802518427518427,0.4622883137825268,-1.0,0.00075,0.1,152.4969391822815
LIRE,2,0.8602579852579852,0.9117361784675073,0.9108649527772273,86,8.502457002457003,0.09886577909833724,0.4806038886450385,-1.0,0.00075,0.5,344.71159195899963
LIRE,2,0.859029484029484,0.9109947643979057,0.9114031231424609,87,7.885749385749386,0.09064079753734926,0.48048170538702206,-1.0,0.00075,1.0,217.43729043006897
LIRE,2,0.8538083538083538,0.9083910700538876,0.906478580509874,72,3.3854422604422605,0.04702003139503139,0.4823398616342632,-1.0,0.00075,5.0,244.03811359405518
LIRE,2,0.8538083538083538,0.9086021505376344,0.8986041625388019,62,2.10995085995086,0.03403146548307839,0.48643878384378414,-1.0,0.00075,10.0,395.98188614845276
LIRE,2,0.8562653562653563,0.9082712661701294,0.9098100253450895,66,12.567260442260443,0.1904130370039461,0.45756324899402195,-1.0,0.001,0.1,87.63085603713989
LIRE,2,0.8553439803439803,0.9080616826078469,0.9083675946106597,67,6.4149262899262895,0.09574516850636253,0.4769232728244169,-1.0,0.001,0.5,146.46542811393738
LIRE,2,0.8574938574938575,0.9099378881987578,0.9099885554950136,71,7.739864864864865,0.10901218119527979,0.46931085861374094,-1.0,0.001,1.0,153.21520829200745
LIRE,2,0.8574938574938575,0.9097978227060654,0.908552316557691,58,2.39465601965602,0.04128717275269,0.48572304038633457,-1.0,0.001,5.0,265.91686964035034
LIRE,2,0.8452088452088452,0.9042189281641961,0.8384673651013803,34,0.7825552825552825,0.02301633183986125,0.4909865277050436,-1.0,0.001,10.0,109.95902061462402
LIRE,2,0.8528869778869779,0.9073321725672278,0.9058743643088303,28,6.0746314496314495,0.2169511232011232,0.4478110934755033,-1.0,0.0025,0.1,56.221282720565796
LIRE,2,0.8553439803439803,0.9083835829605136,0.9037224568225348,30,3.501228501228501,0.1167076167076167,0.4616278943045053,-1.0,0.0025,0.5,95.368656873703
LIRE,2,0.8538083538083538,0.9081081081081082,0.8992819063304933,30,1.5282555282555284,0.05094185094185095,0.4918413218009915,-1.0,0.0025,1.0,231.36761379241943
LIRE,2,0.8326167076167076,0.8976141273717829,0.8178976991281949,15,0.652027027027027,0.04346846846846846,0.46755265963833803,-1.0,0.0025,5.0,63.36766743659973
LIRE,2,0.8283169533169533,0.8930143540669857,0.7953951604913809,14,0.5178132678132679,0.03698666198666199,0.4767779079732788,-1.0,0.0025,10.0,59.42188882827759
LIRE,2,0.8544226044226044,0.9069858712715856,0.9028259361997227,17,4.833845208845209,0.2843438358144241,0.41430457552651484,-1.0,0.005,0.1,32.26656723022461
LIRE,2,0.8498157248157249,0.9059072541851069,0.8954365423353808,18,2.2757985257985256,0.12643325143325143,0.45843427590405345,-1.0,0.005,0.5,45.24022555351257
LIRE,2,0.8535012285012284,0.9077190946024377,0.8995667289974242,19,2.3344594594594597,0.12286628733997156,0.4675061025045471,-1.0,0.005,1.0,84.89490675926208
LIRE,2,0.8430589680589681,0.9029808239984811,0.7337171215573608,5,0.25,0.05,0.4330086073882824,-1.0,0.005,5.0,16.064050436019897
LIRE,2,0.8154176904176904,0.8869663343990973,0.7032594135955352,6,0.2592137592137592,0.043202293202293206,0.46854668122839055,-1.0,0.005,10.0,21.59586215019226
RF,3,0.788083538083538,0.8775292864749733,0.892706217802655,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6383056640625
RuleFit,3,0.8602579852579852,0.911495817934254,0.9141182261739648,104,33.994471744471745,0.32686992061992065,0.42440356612637775,0.0005,-1.0,-1.0,1.7597589492797852
RuleFit,3,0.8584152334152334,0.910363601011083,0.9119407775246021,70,30.452395577395578,0.4350342225342225,0.37957251472042136,0.001,-1.0,-1.0,1.5003998279571533
