method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
KernelSVM,5,0.6612641815235009,0.5828343313373254,0.7190465599051008,5.417891263961792,-1,-1.0,-1.0,-1.0
RuleFit,5,0.6564019448946515,0.6074074074074074,0.7148894255210981,1.3288874626159668,34,13.46515397082658,0.3960339403184288,0.3471911019232832
GLRM,5,0.653160453808752,0.6022304832713754,0.7193484155227927,6.231356859207153,22,13.440842787682334,0.6109473994401061,0.2662989794526608
LIRE,5,0.6547811993517018,0.5696969696969698,0.714825876970005,9.934147834777832,16,2.06645056726094,0.1291531604538087,0.4742407324740875
RF,6,0.6499189627228525,0.5591836734693878,0.7023756566683612,0.152329683303833,-1,-1.0,-1.0,-1.0
LightGBM,6,0.6175040518638574,0.5426356589147288,0.670929715302491,0.0825879573822021,-1,-1.0,-1.0,-1.0
KernelSVM,6,0.6645056726094003,0.5766871165644173,0.7014700898152855,3.852249383926392,-1,-1.0,-1.0,-1.0
RuleFit,6,0.6645056726094003,0.6011560693641619,0.7083492204711066,1.298112154006958,54,17.9935170178282,0.3332132781079296,0.3743208103389824
GLRM,6,0.653160453808752,0.5868725868725868,0.7034930520250806,5.658384799957275,22,12.72123176661264,0.5782378075733019,0.2963992659498661
LIRE,6,0.6645056726094003,0.5949119373776909,0.7028152008134214,14.5586040019989,28,3.053484602917342,0.1090530215327622,0.4759568020994778
RF,7,0.6839546191247974,0.6168958742632612,0.7410131757329266,0.7647628784179688,-1,-1.0,-1.0,-1.0
LightGBM,7,0.6693679092382496,0.603112840466926,0.7261428147771565,0.0828847885131836,-1,-1.0,-1.0,-1.0
KernelSVM,7,0.6888168557536467,0.6144578313253012,0.7413203270632096,3.9085988998413086,-1,-1.0,-1.0,-1.0
RuleFit,7,0.6839546191247974,0.6313799621928166,0.7369566598881545,1.3055360317230225,45,17.111831442463533,0.380262920943634,0.3576026857570773
GLRM,7,0.6888168557536467,0.6377358490566037,0.7350025419420437,0.947474241256714,16,8.53322528363047,0.5333265802269044,0.293941862892597
LIRE,7,0.6839546191247974,0.6198830409356726,0.7391331977630909,8.59489631652832,12,1.779578606158833,0.1482982171799027,0.4696404211759446
RF,8,0.7061688311688312,0.6539196940726577,0.756372236394558,0.7546498775482178,-1,-1.0,-1.0,-1.0
LightGBM,8,0.6672077922077922,0.619666048237477,0.7120376275510203,0.0842213630676269,-1,-1.0,-1.0,-1.0
KernelSVM,8,0.6866883116883117,0.6309751434034417,0.7585990646258505,5.416714668273926,-1,-1.0,-1.0,-1.0
RuleFit,8,0.724025974025974,0.6931407942238267,0.7547619047619047,1.2940943241119385,45,14.46103896103896,0.3213564213564213,0.3800836188693999
GLRM,8,0.7126623376623377,0.6822262118491921,0.7599170918367347,4.027642488479614,22,13.14448051948052,0.5974763872491144,0.2789815099509892
LIRE,8,0.7045454545454546,0.6702898550724637,0.7478794642857142,11.553764581680298,21,3.092532467532468,0.1472634508348794,0.4649060506361531
RF,9,0.698051948051948,0.6463878326996199,0.7422053433898126,0.1521589756011963,-1,-1.0,-1.0,-1.0
LightGBM,9,0.6672077922077922,0.6279491833030854,0.707659212832634,0.083768606185913,-1,-1.0,-1.0,-1.0
