method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
RuleFit,3,0.7406281661600811,0.7580340264650284,0.8175257689555039,2.139615058898926,76,26.901722391084093,0.3539700314616328,0.3711485852631195
GLRM,3,0.7507598784194529,0.7657142857142858,0.8263135380590815,54.81257724761963,94,48.803444782168185,0.5191855827890233,0.3325827038350392
LIRE,3,0.7122593718338399,0.7237354085603112,0.7924128626779972,190.2613587379456,135,16.704154002026343,0.123734474089084,0.4726722592609561
RF,4,0.7092198581560284,0.7007299270072993,0.7879377431906616,0.518028974533081,-1,-1.0,-1.0,-1.0
LightGBM,4,0.6869300911854104,0.6673842841765338,0.7670593364648202,0.1396436691284179,-1,-1.0,-1.0,-1.0
KernelSVM,4,0.7102330293819655,0.6995798319327731,0.7848528722205312,10.363761901855469,-1,-1.0,-1.0,-1.0
RuleFit,4,0.7011144883485309,0.682454251883746,0.7807417675076711,2.1813108921051025,71,25.48834853090172,0.3589908243788974,0.3718696242676837
GLRM,4,0.7142857142857143,0.695464362850972,0.7757401633747665,10.879912614822388,45,22.152988855116515,0.4922886412248114,0.3333556031077005
LIRE,4,0.6990881458966566,0.6830309498399146,0.7558777074884214,54.78983283042908,31,4.191489361702128,0.1352093342484557,0.474969367389477
RF,5,0.7386018237082067,0.7542857142857142,0.801408346426897,2.981760025024414,-1,-1.0,-1.0,-1.0
LightGBM,5,0.723404255319149,0.7336585365853658,0.7954360362287247,0.1369383335113525,-1,-1.0,-1.0,-1.0
KernelSVM,5,0.7254305977710233,0.7411652340019103,0.7987964890055199,11.553889274597168,-1,-1.0,-1.0,-1.0
RuleFit,5,0.7264437689969605,0.7413793103448275,0.8041826737193672,2.078535556793213,65,24.213779128672744,0.3725196789026576,0.3641591417606855
GLRM,5,0.7244174265450861,0.7338551859099803,0.811477365273402,3.98917555809021,43,22.24214792299899,0.5172592540232323,0.3180588279081531
LIRE,5,0.7244174265450861,0.7374517374517374,0.7896261959016462,15.760568857192991,8,2.348530901722391,0.2935663627152989,0.4125281451389436
RF,6,0.7487335359675785,0.7699443413729129,0.8243844654124267,2.98237681388855,-1,-1.0,-1.0,-1.0
LightGBM,6,0.7396149949341438,0.7582314205079963,0.8090176948198847,0.1371254920959472,-1,-1.0,-1.0,-1.0
KernelSVM,6,0.7477203647416414,0.7675070028011205,0.8231957617986031,11.56578516960144,-1,-1.0,-1.0,-1.0
RuleFit,6,0.7507598784194529,0.7700934579439251,0.8278086721892712,2.154270648956299,88,29.041540020263422,0.3300175002302662,0.3858996403276873
GLRM,6,0.7558257345491388,0.7728557964184731,0.8269017201240529,4.980660676956177,44,24.61195542046606,0.5593626231924105,0.2989361005585217
LIRE,6,0.7446808510638298,0.7613636363636364,0.8109529372084795,47.28551244735718,24,2.9625126646403244,0.1234380276933468,0.4725640068514015
RF,7,0.7487335359675785,0.7699443413729129,0.8095302719997368,2.289006233215332,-1,-1.0,-1.0,-1.0
LightGBM,7,0.7304964539007093,0.7514018691588785,0.8028598218471636,0.1389205455780029,-1,-1.0,-1.0,-1.0
KernelSVM,7,0.7365754812563323,0.7565543071161049,0.8030613335965323,10.665850400924684,-1,-1.0,-1.0,-1.0
RuleFit,7,0.7426545086119554,0.7635009310986964,0.8127750224130414,2.086225986480713,91,28.31813576494428,0.3111883051092777,0.3912141570019154
GLRM,7,0.745694022289767,0.7682363804247461,0.8075809542609453,9.677926301956177,47,25.250253292806484,0.5372394317618401,0.312781322819665
LIRE,7,0.7365754812563323,0.7547169811320753,0.8021874306018211,46.069584131240845,23,3.621073961499493,0.1574379983260649,0.4646162876483137
RF,8,0.6869300911854104,0.7054337464251669,0.7432987062123194,1.779261589050293,-1,-1.0,-1.0,-1.0
LightGBM,8,0.6707193515704154,0.6895893027698186,0.7153913851670902,0.1377153396606445,-1,-1.0,-1.0,-1.0
KernelSVM,8,0.6808510638297872,0.6991404011461317,0.7293039208428949,11.158633470535278,-1,-1.0,-1.0,-1.0
RuleFit,8,0.6869300911854104,0.6973555337904016,0.7413720071392734,2.091862916946411,79,26.61398176291793,0.336885845100227,0.3725587435307404
GLRM,8,0.7021276595744681,0.7100591715976332,0.7455996413913358,5.95556902885437,38,19.25531914893617,0.5067189249720044,0.3229071091251811
LIRE,8,0.6838905775075987,0.7034220532319392,0.7394288581275035,63.33743810653687,23,2.949341438703141,0.1282322364653539,0.4632988511717852
RF,9,0.7375886524822695,0.7617295308187673,0.8166284205591334,1.567474365234375,-1,-1.0,-1.0,-1.0
LightGBM,9,0.7223910840932117,0.7400379506641366,0.785184362688249,1.3786568641662598,-1,-1.0,-1.0,-1.0
KernelSVM,9,0.729483282674772,0.7459562321598476,0.7958295292850035,11.35162115097046,-1,-1.0,-1.0,-1.0
RuleFit,9,0.7416413373860182,0.7627906976744184,0.8083191452611839,2.069788694381714,59,22.26950354609929,0.3774492126457507,0.3596933060156535
GLRM,9,0.7315096251266464,0.7488151658767772,0.814973145475033,8.604385137557983,42,23.260385005065856,0.5538186905968061,0.3058302152651478
LIRE,9,0.7355623100303952,0.7549295774647887,0.797692484845494,44.91520404815674,26,3.474164133738602,0.1336216974514847,0.4713688856637785
RF,10,0.7619047619047619,0.7772511848341233,0.8317500267311504,2.99013090133667,-1,-1.0,-1.0,-1.0
LightGBM,10,0.7426545086119554,0.753398058252427,0.8181171400136533,0.1420698165893554,-1,-1.0,-1.0,-1.0
KernelSVM,10,0.7629179331306991,0.7749999999999999,0.8178128161472598,10.64762544631958,-1,-1.0,-1.0,-1.0
RuleFit,10,0.7507598784194529,0.7625482625482625,0.8281906712397497,2.0534780025482178,82,26.32117527862209,0.3209899424222205,0.3902617231748986
GLRM,10,0.7619047619047619,0.7689282202556539,0.8285669635880606,18.82736873626709,76,39.983789260385,0.5261024902682238,0.3289881365439605
LIRE,10,0.7365754812563323,0.7570093457943925,0.8106797114680746,55.53478121757507,21,2.7244174265450862,0.1297341631688136,0.4723115201265145
